Price,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT
Date,,,,,,,,,,,,,,,,
2024-04-08,167.65834045410156,182.0452423095703,146.87802124023438,421.3729553222656,25.012269973754883,123.09481811523438,164.6273651123047,59.27313995361328,37425500,2296800,5935400,14272400,24431400,2821600,2122900,11070100
2024-04-09,168.8726043701172,186.49456787109375,147.5562744140625,423.0501708984375,25.20047378540039,123.18262481689453,166.4996795654297,59.283058166503906,42451200,1962900,6135600,12512300,45193600,2965800,1847100,10015900
2024-04-10,166.99147033691406,175.99996948242188,145.53121948242188,420.0530700683594,24.76760482788086,117.68009948730469,166.48997497558594,60.10601806640625,49709300,4136500,6809500,16216600,44541600,4753000,2148700,15097600
2024-04-11,174.2173614501953,174.3408660888672,144.16505432128906,424.6876525878906,24.786426544189453,117.31910705566406,166.2086639404297,59.58051300048828,91070300,3688600,8374400,17966400,32814500,4098100,2247900,10987600
2024-04-12,175.72027587890625,174.88739013671875,142.93453979492188,418.7033386230469,24.334735870361328,116.09957122802734,161.1543731689453,59.63008499145508,101593300,3839000,7097500,19232100,42985600,3735300,3550800,12278100
2024-04-15,171.87841796875,173.8333740234375,143.0023651123047,410.5059509277344,24.38178825378418,112.96781158447266,160.0775604248047,59.42186737060547,73531800,2562800,8502300,20273500,35660200,3993800,5075400,10557200
2024-04-16,168.583984375,168.06561279296875,139.9599609375,411.43878173828125,24.174762725830078,111.94340515136719,158.43807983398438,59.33263397216797,73711200,3848700,12774900,16765600,28885300,5666400,3450600,14726300
2024-04-17,167.21046447753906,167.88018798828125,140.27001953125,408.71954345703125,23.920686721801758,103.89447784423828,159.5537109375,59.14424133300781,50901200,2732800,9378100,15855500,43828900,11034000,3700200,15329700
2024-04-18,166.2549591064453,166.88473510742188,141.20986938476562,401.2069091796875,23.8924560546875,102.13835906982422,161.60064697265625,58.757545471191406,43122900,2276200,9887700,21029900,35788400,6310200,3169500,12061500
2024-04-19,164.2245635986328,167.17752075195312,143.3124237060547,396.095947265625,24.466480255126953,100.96760559082031,163.2692108154297,59.0252571105957,67772100,2867400,9747700,30276500,38337400,6931100,3376600,14160200
2024-04-22,165.0605926513672,168.1534423828125,144.48480224609375,397.9219665527344,24.711145401000977,101.54322052001953,162.1147918701172,59.63008499145508,48116400,2603800,10118700,20286900,35678700,3673000,2155500,14910000
2024-04-23,166.11561584472656,169.9882049560547,144.9111328125,404.48193359375,24.76760482788086,102.27495574951172,161.53273010253906,58.588993072509766,49537800,2659000,10110400,15734500,24297800,4232300,1890300,17963900
2024-04-24,168.2256622314453,169.17816162109375,143.91314697265625,405.96063232421875,24.720556259155273,100.6651611328125,160.39768981933594,59.36237716674805,48251800,3029300,9756300,15065300,24547800,4819700,2631400,18529100
2024-04-25,169.09158325195312,168.73899841308594,142.25631713867188,396.0165710449219,23.770124435424805,100.83101654052734,159.52459716796875,59.699493408203125,50558300,1862300,7642700,40586500,47661400,3798800,3141700,19263000
2024-04-26,168.5043487548828,167.55813598632812,141.59744262695312,403.24139404296875,23.90186882019043,101.52371215820312,159.8156280517578,59.64992141723633,44838400,1701400,6183000,29694700,46526500,4037600,2085500,11045200
2024-04-29,172.68460083007812,170.77871704101562,142.25631713867188,399.20220947265625,24.127710342407227,102.4505615234375,158.8358154296875,59.72924041748047,68169400,2104800,6149600,19582100,39995300,2840500,2698500,9785100
2024-04-30,169.5294952392578,167.43124389648438,140.09561157226562,386.3800964355469,24.10889434814453,99.56270599365234,156.16802978515625,58.84678649902344,65934800,3710600,8817700,28781400,38017700,5607900,3534400,14209200
2024-05-01,168.5043487548828,172.58416748046875,146.48077392578125,391.9476013183594,25.576879501342773,99.39684295654297,151.75401306152344,58.35102462768555,50383100,3877100,14470900,23562500,97388900,5526200,4378000,15464300
